2014-12-23 01:19:38 INFO  ResourceX:102 -  (11) Resource Exist: FileName = [Global.es.resx] value = [default_labelFlourishBlog] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:101 -  (12) Resource Exist: FileName = [Global.es.resx] value = [default_headerMyAscendLive] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:102 -  (12) Resource Exist: FileName = [Global.es.resx] value = [default_headerMyAscendLive] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:101 -  (13) Resource Exist: FileName = [Global.es.resx] value = [default_headerFullLinks] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:102 -  (13) Resource Exist: FileName = [Global.es.resx] value = [default_headerFullLinks] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:56 - ============================[ Default.aspx.vb -> Global.resx ]===============================
2014-12-23 01:19:38 INFO  ResourceX:97 -  (1) Resource Added: FileName = [Global.resx] value = [default_stringYou] defaultLanguageValue = [you]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (2) Resource Added: FileName = [Global.resx] value = [default_eventLinkViewContact2] defaultLanguageValue = [Birthday for <a href=""contacts/ViewContact.aspx?p={0}"">{1}</a>.]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (3) Resource Added: FileName = [Global.resx] value = [default_linkViewContact] defaultLanguageValue = [<a href=""datebook/EditAppointment.aspx?ap={3}"">{4}</a> with <a href=""contacts/ViewContact.aspx?p={0}"">{1}</a>{2}.]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (4) Resource Added: FileName = [Global.resx] value = [default_eventLinkAppointments1] defaultLanguageValue = [<a href=""datebook/Appointments.aspx"">Birthday</a> for {0} on {1}.]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (5) Resource Added: FileName = [Global.resx] value = [default_successIncomeAdded] defaultLanguageValue = [Your income has been successfully added.]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (6) Resource Added: FileName = [Global.resx] value = [default_successMileageAdded] defaultLanguageValue = [Your mileage has been successfully added.]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (7) Resource Added: FileName = [Global.resx] value = [default_stringPriorotyHight] defaultLanguageValue = [High]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (8) Resource Added: FileName = [Global.resx] value = [default_stringPriorotyMedium] defaultLanguageValue = [Medium]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (9) Resource Added: FileName = [Global.resx] value = [default_stringAppointment] defaultLanguageValue = [Appointment]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (10) Resource Added: FileName = [Global.resx] value = [default_notifyExpenseAdded] defaultLanguageValue = [Expense Added]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (11) Resource Added: FileName = [Global.resx] value = [default_eventLinkViewContact1] defaultLanguageValue = [Birthday for <b>{2}</b> spouse of <a href=""contacts/ViewContact.aspx?p={0}"">{1}</a>.]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (12) Resource Added: FileName = [Global.resx] value = [default_notifyMileageAdded] defaultLanguageValue = [Mileage Added]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (13) Resource Added: FileName = [Global.resx] value = [default_successTaskAdded] defaultLanguageValue = [Your task has been successfully added.]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (14) Resource Added: FileName = [Global.resx] value = [default_stringPriorotyLow] defaultLanguageValue = [Low]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (15) Resource Added: FileName = [Global.resx] value = [default_linkViewBookingHosted] defaultLanguageValue = [{2} booking hosted by <a href=""datebook/ViewBooking.aspx?b={1}"">{0}</a>.]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (16) Resource Added: FileName = [Global.resx] value = [default_stringAtTime] defaultLanguageValue = [ at {0}]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (17) Resource Added: FileName = [Global.resx] value = [default_successExpenseAdded] defaultLanguageValue = [Your expense has been successfully added.]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (18) Resource Added: FileName = [Global.resx] value = [default_notifyIncomeAdded] defaultLanguageValue = [Income Added]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (19) Resource Added: FileName = [Global.resx] value = [default_eventLinkViewContact] defaultLanguageValue = [Anniversary for <a href=""contacts/ViewContact.aspx?p={0}"">{1}</a>.]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (20) Resource Added: FileName = [Global.resx] value = [default_eventLinkAppointments] defaultLanguageValue = [<a href=""datebook/Appointments.aspx"">Anniversary</a> for {0} on {1}.]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (21) Resource Added: FileName = [Global.resx] value = [default_stringAllDay] defaultLanguageValue = [all day]
2014-12-23 01:19:38 INFO  ResourceX:97 -  (22) Resource Added: FileName = [Global.resx] value = [default_stringRecurringAppointment] defaultLanguageValue = [Recurring appointment]
2014-12-23 01:19:38 INFO  ResourceX:56 - ============================[ Default.aspx.vb -> Global.es.resx ]===============================
2014-12-23 01:19:38 INFO  ResourceX:97 -  (1) Resource Added: FileName = [Global.es.resx] value = [default_stringYou] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:97 -  (2) Resource Added: FileName = [Global.es.resx] value = [default_eventLinkViewContact2] defaultLanguageValue = []
